Srno,Style,Type,File path
1,Bohemian,Accessories,C:/Outfit Builder/static/images_dataset/image1.jpg
2,Bohemian,Accessories,C:/Outfit Builder/static/images_dataset/image2.jpg
3,Bohemian,Accessories,C:/Outfit Builder/static/images_dataset/image3.jpg
4,Bohemian,Accessories,C:/Outfit Builder/static/images_dataset/image4.jpg
5,Bohemian,Accessories,C:/Outfit Builder/static/images_dataset/image5.jpg
6,Bohemian,Accessories,C:/Outfit Builder/static/images_dataset/image6.jpg
7,Bohemian,Accessories,C:/Outfit Builder/static/images_dataset/image7.jpg
8,Bohemian,Accessories,C:/Outfit Builder/static/images_dataset/image8.jpg
9,Bohemian,Accessories,C:/Outfit Builder/static/images_dataset/image9.jpg
10,Bohemian,Accessories,C:/Outfit Builder/static/images_dataset/image10.jpg
11,Bohemian,Accessories,C:/Outfit Builder/static/images_dataset/image11.jpg
12,Bohemian,Accessories,C:/Outfit Builder/static/images_dataset/image12.jpg
13,Bohemian,Accessories,C:/Outfit Builder/static/images_dataset/image13.jpg
14,Bohemian,Accessories,C:/Outfit Builder/static/images_dataset/image14.jpg
15,Bohemian,Accessories,C:/Outfit Builder/static/images_dataset/image15.jpg
16,Bohemian,Accessories,C:/Outfit Builder/static/images_dataset/image16.jpg
17,Bohemian,Accessories,C:/Outfit Builder/static/images_dataset/image17.jpg
18,Bohemian,Accessories,C:/Outfit Builder/static/images_dataset/image18.jpg
19,Bohemian,Accessories,C:/Outfit Builder/static/images_dataset/image19.jpg
20,Bohemian,Accessories,C:/Outfit Builder/static/images_dataset/image20.jpg
21,Bohemian,Accessories,C:/Outfit Builder/static/images_dataset/image21.jpg
22,Bohemian,Accessories,C:/Outfit Builder/static/images_dataset/image22.jpg
23,Bohemian,Accessories,C:/Outfit Builder/static/images_dataset/image23.jpg
24,Bohemian,Accessories,C:/Outfit Builder/static/images_dataset/image24.jpg
25,Bohemian,Accessories,C:/Outfit Builder/static/images_dataset/image25.jpg
26,Bohemian,Accessories,C:/Outfit Builder/static/images_dataset/image26.jpg
27,Bohemian,Accessories,C:/Outfit Builder/static/images_dataset/image27.jpg
28,Bohemian,Accessories,C:/Outfit Builder/static/images_dataset/image28.jpg
29,Bohemian,Accessories,C:/Outfit Builder/static/images_dataset/image29.jpg
30,Bohemian,Accessories,C:/Outfit Builder/static/images_dataset/image30.jpg
31,Bohemian,Accessories,C:/Outfit Builder/static/images_dataset/image31.jpg
32,Bohemian,Accessories,C:/Outfit Builder/static/images_dataset/image32.jpg
33,Bohemian,Accessories,C:/Outfit Builder/static/images_dataset/image33.jpg
34,Bohemian,Accessories,C:/Outfit Builder/static/images_dataset/image34.jpg
35,Bohemian,Accessories,C:/Outfit Builder/static/images_dataset/image35.jpg
36,Bohemian,Accessories,C:/Outfit Builder/static/images_dataset/image36.jpg
37,Bohemian,Accessories,C:/Outfit Builder/static/images_dataset/image37.jpg
38,Bohemian,Accessories,C:/Outfit Builder/static/images_dataset/image38.jpg
39,Bohemian,Footwear,C:/Outfit Builder/static/images_dataset/image39.jpg
40,Bohemian,Footwear,C:/Outfit Builder/static/images_dataset/image40.jpg
41,Bohemian,Footwear,C:/Outfit Builder/static/images_dataset/image41.jpg
42,Bohemian,Footwear,C:/Outfit Builder/static/images_dataset/image42.jpg
43,Bohemian,Footwear,C:/Outfit Builder/static/images_dataset/image43.jpg
44,Bohemian,Footwear,C:/Outfit Builder/static/images_dataset/image44.jpg
45,Bohemian,Footwear,C:/Outfit Builder/static/images_dataset/image45.jpg
46,Bohemian,Footwear,C:/Outfit Builder/static/images_dataset/image46.jpg
47,Bohemian,Footwear,C:/Outfit Builder/static/images_dataset/image47.jpg
48,Bohemian,Footwear,C:/Outfit Builder/static/images_dataset/image48.jpg
49,Bohemian,Footwear,C:/Outfit Builder/static/images_dataset/image49.jpg
